Processing time: 0.054976 (ms), GFLOPS: 32.186262 
Processing time: 0.180128 (ms), GFLOPS: 265.232208 
Processing time: 0.516704 (ms), GFLOPS: 472.316576 
Processing time: 0.992384 (ms), GFLOPS: 656.319872 
Processing time: 1.763296 (ms), GFLOPS: 815.884736 
Processing time: 2.794176 (ms), GFLOPS: 921.855616 
Processing time: 4.237440 (ms), GFLOPS: 1027.404416 
Processing time: 5.997472 (ms), GFLOPS: 1098.678400 
Processing time: 8.477088 (ms), GFLOPS: 1150.961664 
Processing time: 11.358560 (ms), GFLOPS: 1184.984576 
Processing time: 14.708416 (ms), GFLOPS: 1252.096896 
Processing time: 18.709984 (ms), GFLOPS: 1280.338048 
Processing time: 23.912256 (ms), GFLOPS: 1300.598272 
Processing time: 29.642977 (ms), GFLOPS: 1310.376192 
Processing time: 35.801537 (ms), GFLOPS: 1356.825472 
Processing time: 42.594398 (ms), GFLOPS: 1382.640896 
Processing time: 51.818562 (ms), GFLOPS: 1381.994240 
Processing time: 60.695648 (ms), GFLOPS: 1398.304896 
Processing time: 70.675232 (ms), GFLOPS: 1428.757888 
Processing time: 81.495903 (ms), GFLOPS: 1442.357760 
