Processing time: 3.249152 (ms), GFLOPS: 0.544595 
Processing time: 86.814720 (ms), GFLOPS: 0.550319 
Processing time: 445.808655 (ms), GFLOPS: 0.547427 
Processing time: 1180.879883 (ms), GFLOPS: 0.551556 
Processing time: 2626.713623 (ms), GFLOPS: 0.547698 
Processing time: 4672.318359 (ms), GFLOPS: 0.551295 
Processing time: 7862.684570 (ms), GFLOPS: 0.553700 
Processing time: 12078.421875 (ms), GFLOPS: 0.545543 
Processing time: 17705.466797 (ms), GFLOPS: 0.551062 
Processing time: 25154.576172 (ms), GFLOPS: 0.535080 
Processing time: 39901.773438 (ms), GFLOPS: 0.461542 
Processing time: 57220.500000 (ms), GFLOPS: 0.418645 
Processing time: 75309.296875 (ms), GFLOPS: 0.412967 
Processing time: 86711.945312 (ms), GFLOPS: 0.447960 
Processing time: 115950.203125 (ms), GFLOPS: 0.418942 
Processing time: 141101.500000 (ms), GFLOPS: 0.417379 
Processing time: 171470.828125 (ms), GFLOPS: 0.417639 
Processing time: 203594.531250 (ms), GFLOPS: 0.416863 
Processing time: 239723.421875 (ms), GFLOPS: 0.421226 
Processing time: 277855.093750 (ms), GFLOPS: 0.423049 
