Processing time: 0.055584 (ms), GFLOPS: 31.834198 
Processing time: 0.189408 (ms), GFLOPS: 252.237200 
Processing time: 0.446720 (ms), GFLOPS: 546.310592 
Processing time: 0.722784 (ms), GFLOPS: 901.128640 
Processing time: 1.407456 (ms), GFLOPS: 1022.160704 
Processing time: 2.129312 (ms), GFLOPS: 1209.699200 
Processing time: 2.993376 (ms), GFLOPS: 1454.399488 
Processing time: 4.092096 (ms), GFLOPS: 1610.248832 
Processing time: 6.105248 (ms), GFLOPS: 1598.100992 
Processing time: 8.714912 (ms), GFLOPS: 1544.446720 
Processing time: 9.632608 (ms), GFLOPS: 1911.876864 
Processing time: 12.107968 (ms), GFLOPS: 1978.457728 
Processing time: 16.714657 (ms), GFLOPS: 1860.656768 
Processing time: 20.929665 (ms), GFLOPS: 1855.904000 
Processing time: 26.061953 (ms), GFLOPS: 1863.883264 
Processing time: 31.565151 (ms), GFLOPS: 1865.752320 
Processing time: 37.969345 (ms), GFLOPS: 1886.072960 
Processing time: 44.381313 (ms), GFLOPS: 1912.314368 
Processing time: 51.775455 (ms), GFLOPS: 1950.302336 
Processing time: 59.159519 (ms), GFLOPS: 1986.937088 
