Processing time: 0.054784 (ms), GFLOPS: 32.299066 
Processing time: 0.170944 (ms), GFLOPS: 279.481824 
Processing time: 0.442272 (ms), GFLOPS: 551.804928 
Processing time: 0.744160 (ms), GFLOPS: 875.243712 
Processing time: 1.441504 (ms), GFLOPS: 998.017536 
Processing time: 2.186368 (ms), GFLOPS: 1178.130560 
Processing time: 3.170912 (ms), GFLOPS: 1372.969216 
Processing time: 4.380928 (ms), GFLOPS: 1504.086016 
Processing time: 6.373632 (ms), GFLOPS: 1530.807424 
Processing time: 8.520320 (ms), GFLOPS: 1579.719808 
Processing time: 10.343200 (ms), GFLOPS: 1780.528512 
Processing time: 12.903936 (ms), GFLOPS: 1856.418304 
Processing time: 17.011841 (ms), GFLOPS: 1828.152576 
Processing time: 20.795712 (ms), GFLOPS: 1867.858688 
Processing time: 24.015936 (ms), GFLOPS: 2022.675200 
Processing time: 28.302015 (ms), GFLOPS: 2080.867840 
Processing time: 36.230530 (ms), GFLOPS: 1976.591488 
Processing time: 42.320927 (ms), GFLOPS: 2005.415040 
Processing time: 45.730721 (ms), GFLOPS: 2208.095488 
Processing time: 52.317535 (ms), GFLOPS: 2246.784768 
