#mpiTasks=1 mpiRank=0, n=100000000, range=100000000, StartLocal=0, HostLocal=wn20
#ID 0 terminated - piLocal = 3.1415926936  0.121189
#Funct  Inter  pi    error   time numtasks  hostname 
1 100000000  3.1415926936 4.0000423418e-08 0.1212  1 # wn20 
#mpiTasks=2 mpiRank=0, n=200000000, range=100000000, StartLocal=0, HostLocal=wn20
#mpiTasks=2 mpiRank=1, n=200000000, range=100000000, StartLocal=100000000, HostLocal=wn20
#ID 1 terminated - piLocal = 1.2870022336  0.121186
#ID 0 terminated - piLocal = 1.8545904560  0.121861
#Funct  Inter  pi    error   time numtasks  hostname 
1 200000000  3.1415926896 3.5999955461e-08 0.1219  2 # wn20 
#mpiTasks=4 mpiRank=2, n=400000000, range=100000000, StartLocal=200000000, HostLocal=wn20
#mpiTasks=4 mpiRank=3, n=400000000, range=100000000, StartLocal=300000000, HostLocal=wn20
#mpiTasks=4 mpiRank=0, n=400000000, range=100000000, StartLocal=0, HostLocal=wn20
#mpiTasks=4 mpiRank=1, n=400000000, range=100000000, StartLocal=100000000, HostLocal=wn20
#ID 2 terminated - piLocal = 0.7194140072  0.121234
#ID 0 terminated - piLocal = 0.9799146625  0.121230
#ID 3 terminated - piLocal = 0.5675882248  0.121659
#ID 1 terminated - piLocal = 0.8746757929  0.121252
#Funct  Inter  pi    error   time numtasks  hostname 
1 400000000  3.1415926874 3.3811827560e-08 0.1212  4 # wn20 
#mpiTasks=8 mpiRank=4, n=800000000, range=100000000, StartLocal=400000000, HostLocal=wn20
#mpiTasks=8 mpiRank=5, n=800000000, range=100000000, StartLocal=500000000, HostLocal=wn20
#mpiTasks=8 mpiRank=7, n=800000000, range=100000000, StartLocal=700000000, HostLocal=wn20
#mpiTasks=8 mpiRank=0, n=800000000, range=100000000, StartLocal=0, HostLocal=wn20
#mpiTasks=8 mpiRank=2, n=800000000, range=100000000, StartLocal=200000000, HostLocal=wn20
#mpiTasks=8 mpiRank=6, n=800000000, range=100000000, StartLocal=600000000, HostLocal=wn20
#mpiTasks=8 mpiRank=1, n=800000000, range=100000000, StartLocal=100000000, HostLocal=wn20
#mpiTasks=8 mpiRank=3, n=800000000, range=100000000, StartLocal=300000000, HostLocal=wn20
#ID 5 terminated - piLocal = 0.3396071774  0.121780
#ID 4 terminated - piLocal = 0.3798068294  0.121862
#ID 6 terminated - piLocal = 0.3013155665  0.122187
#ID 7 terminated - piLocal = 0.2662726579  0.122350
#ID 2 terminated - piLocal = 0.4551680333  0.122458
#ID 3 terminated - piLocal = 0.4195077593  0.122327
#ID 0 terminated - piLocal = 0.4974199832  0.124171
#ID 1 terminated - piLocal = 0.4824946792  0.124038
#Funct  Inter  pi    error   time numtasks  hostname 
1 800000000  3.1415926862 3.2639943193e-08 0.1242  8 # wn20 
#mpiTasks=16 mpiRank=2, n=1600000000, range=100000000, StartLocal=200000000, HostLocal=wn20
#mpiTasks=16 mpiRank=11, n=1600000000, range=100000000, StartLocal=1100000000, HostLocal=wn20
#mpiTasks=16 mpiRank=13, n=1600000000, range=100000000, StartLocal=1300000000, HostLocal=wn20
#mpiTasks=16 mpiRank=4, n=1600000000, range=100000000, StartLocal=400000000, HostLocal=wn20
#mpiTasks=16 mpiRank=5, n=1600000000, range=100000000, StartLocal=500000000, HostLocal=wn20
#mpiTasks=16 mpiRank=12, n=1600000000, range=100000000, StartLocal=1200000000, HostLocal=wn20
