function,iter,pi,error,t_np,t_p,hostname
1, 1000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.02057, ui01.hpc.unipr.it 
1, 1100000,  3.1415926536, 3.1415926536e+00, 0.00006,  0.02656, ui01.hpc.unipr.it 
1, 1200000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02110, ui01.hpc.unipr.it 
1, 1300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02285, ui01.hpc.unipr.it 
1, 1400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.01657, ui01.hpc.unipr.it 
1, 1500000,  3.1415926536, 3.1415926536e+00, 0.00006,  0.03046, ui01.hpc.unipr.it 
1, 1600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02807, ui01.hpc.unipr.it 
1, 1700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.02984, ui01.hpc.unipr.it 
1, 1800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03157, ui01.hpc.unipr.it 
1, 1900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03334, ui01.hpc.unipr.it 
1, 2000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03508, ui01.hpc.unipr.it 
1, 2100000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03682, ui01.hpc.unipr.it 
1, 2200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.04486, ui01.hpc.unipr.it 
1, 2300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04033, ui01.hpc.unipr.it 
1, 2400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.04206, ui01.hpc.unipr.it 
1, 2500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03974, ui01.hpc.unipr.it 
1, 2600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02901, ui01.hpc.unipr.it 
1, 2700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02948, ui01.hpc.unipr.it 
1, 2800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03211, ui01.hpc.unipr.it 
1, 2900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03244, ui01.hpc.unipr.it 
1, 3000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03429, ui01.hpc.unipr.it 
1, 3100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03546, ui01.hpc.unipr.it 
1, 3200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03617, ui01.hpc.unipr.it 
1, 3300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03714, ui01.hpc.unipr.it 
1, 3400000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.03895, ui01.hpc.unipr.it 
1, 3500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04250, ui01.hpc.unipr.it 
1, 3600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04298, ui01.hpc.unipr.it 
1, 3700000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.04278, ui01.hpc.unipr.it 
1, 3800000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.04430, ui01.hpc.unipr.it 
1, 3900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04600, ui01.hpc.unipr.it 
1, 4000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04657, ui01.hpc.unipr.it 
1, 4100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04860, ui01.hpc.unipr.it 
1, 4200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.04970, ui01.hpc.unipr.it 
1, 4300000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05109, ui01.hpc.unipr.it 
1, 4400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05379, ui01.hpc.unipr.it 
1, 4500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05467, ui01.hpc.unipr.it 
1, 4600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.05523, ui01.hpc.unipr.it 
1, 4700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.05552, ui01.hpc.unipr.it 
1, 4800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.09218, ui01.hpc.unipr.it 
1, 4900000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06031, ui01.hpc.unipr.it 
1, 5000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06168, ui01.hpc.unipr.it 
1, 5100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06367, ui01.hpc.unipr.it 
1, 5200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06171, ui01.hpc.unipr.it 
1, 5300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06301, ui01.hpc.unipr.it 
1, 5400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06207, ui01.hpc.unipr.it 
1, 5500000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06526, ui01.hpc.unipr.it 
1, 5600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06637, ui01.hpc.unipr.it 
1, 5700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.06841, ui01.hpc.unipr.it 
1, 5800000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.06838, ui01.hpc.unipr.it 
1, 5900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07408, ui01.hpc.unipr.it 
1, 6000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.07117, ui01.hpc.unipr.it 
1, 6100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07184, ui01.hpc.unipr.it 
1, 6200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07215, ui01.hpc.unipr.it 
1, 6300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07154, ui01.hpc.unipr.it 
1, 6400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07463, ui01.hpc.unipr.it 
1, 6500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07680, ui01.hpc.unipr.it 
1, 6600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07680, ui01.hpc.unipr.it 
1, 6700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.07913, ui01.hpc.unipr.it 
1, 6800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08046, ui01.hpc.unipr.it 
1, 6900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08029, ui01.hpc.unipr.it 
1, 7000000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08163, ui01.hpc.unipr.it 
1, 7100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08433, ui01.hpc.unipr.it 
1, 7200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08638, ui01.hpc.unipr.it 
1, 7300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08638, ui01.hpc.unipr.it 
1, 7400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08894, ui01.hpc.unipr.it 
1, 7500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.08741, ui01.hpc.unipr.it 
1, 7600000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08747, ui01.hpc.unipr.it 
1, 7700000,  3.1415926536, 3.1415926536e+00, 0.00002,  0.08909, ui01.hpc.unipr.it 
