function,iter,pi,error,t_np,t_p,hostname
1, 1000000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.01688, wn23 
1, 1100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01080, wn23 
1, 1200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01178, wn23 
1, 1300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01283, wn23 
1, 1400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01380, wn23 
1, 1500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01479, wn23 
1, 1600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01568, wn23 
1, 1700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01669, wn23 
1, 1800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01765, wn23 
1, 1900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01862, wn23 
1, 2000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.01985, wn23 
1, 2100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02098, wn23 
1, 2200000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02165, wn23 
1, 2300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02254, wn23 
1, 2400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02362, wn23 
1, 2500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02452, wn23 
1, 2600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02557, wn23 
1, 2700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02647, wn23 
1, 2800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02754, wn23 
1, 2900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02843, wn23 
1, 3000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.02940, wn23 
1, 3100000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03049, wn23 
1, 3200000,  3.1415926536, 3.1415926536e+00, 0.00003,  0.03176, wn23 
1, 3300000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03235, wn23 
1, 3400000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03401, wn23 
1, 3500000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03511, wn23 
1, 3600000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03552, wn23 
1, 3700000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03647, wn23 
1, 3800000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03727, wn23 
1, 3900000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03830, wn23 
1, 4000000,  3.1415926536, 3.1415926536e+00, 0.00001,  0.03930, wn23 
