function,iter,pi,error,time,hostname
1, 100000,  3.1415926536, 8.3684170704e-12, 0.00099,  wn20 
2, 100000,  3.1415926645, 1.0892036606e-08, 0.00115,  wn20 
1, 110000,  3.1415926536, 6.8620664706e-12, 0.00108,  wn20 
2, 110000,  3.1415926630, 9.4410679274e-09, 0.00123,  wn20 
1, 120000,  3.1415926536, 5.7887028504e-12, 0.00118,  wn20 
2, 120000,  3.1415926619, 8.2858613304e-09, 0.00135,  wn20 
1, 130000,  3.1415926536, 4.9329429430e-12, 0.00128,  wn20 
2, 130000,  3.1415926609, 7.3485106888e-09, 0.00144,  wn20 
1, 140000,  3.1415926536, 4.2938985700e-12, 0.00138,  wn20 
2, 140000,  3.1415926602, 6.5753882339e-09, 0.00159,  wn20 
1, 150000,  3.1415926536, 3.6952663152e-12, 0.00152,  wn20 
2, 150000,  3.1415926595, 5.9288880472e-09, 0.00167,  wn20 
1, 160000,  3.1415926536, 3.2134295225e-12, 0.00159,  wn20 
2, 160000,  3.1415926590, 5.3818092205e-09, 0.00179,  wn20 
1, 170000,  3.1415926536, 2.8235191962e-12, 0.00168,  wn20 
2, 170000,  3.1415926585, 4.9139829983e-09, 0.00190,  wn20 
1, 180000,  3.1415926536, 2.5970336992e-12, 0.00178,  wn20 
2, 180000,  3.1415926581, 4.5103347723e-09, 0.00200,  wn20 
1, 190000,  3.1415926536, 2.3159252294e-12, 0.00197,  wn20 
2, 190000,  3.1415926577, 4.1589527378e-09, 0.00212,  wn20 
1, 200000,  3.1415926536, 2.0965451597e-12, 0.00197,  wn20 
2, 200000,  3.1415926574, 3.8508964906e-09, 0.00229,  wn20 
1, 210000,  3.1415926536, 1.9300117060e-12, 0.00208,  wn20 
2, 210000,  3.1415926572, 3.5791187791e-09, 0.00233,  wn20 
1, 220000,  3.1415926536, 1.6604495556e-12, 0.00217,  wn20 
2, 220000,  3.1415926569, 3.3379055075e-09, 0.00245,  wn20 
1, 230000,  3.1415926536, 1.5947243526e-12, 0.00234,  wn20 
2, 230000,  3.1415926567, 3.1225959596e-09, 0.00257,  wn20 
1, 240000,  3.1415926536, 1.3948842081e-12, 0.00237,  wn20 
2, 240000,  3.1415926565, 2.9294002779e-09, 0.00278,  wn20 
1, 250000,  3.1415926536, 1.2922996007e-12, 0.00247,  wn20 
2, 250000,  3.1415926563, 2.7555375759e-09, 0.00281,  wn20 
1, 260000,  3.1415926536, 1.2168044350e-12, 0.00264,  wn20 
2, 260000,  3.1415926562, 2.5980471108e-09, 0.00294,  wn20 
1, 270000,  3.1415926536, 1.1057821325e-12, 0.00266,  wn20 
2, 270000,  3.1415926560, 2.4551161104e-09, 0.00308,  wn20 
1, 280000,  3.1415926536, 1.0431655539e-12, 0.00277,  wn20 
2, 280000,  3.1415926559, 2.3247470615e-09, 0.00316,  wn20 
1, 290000,  3.1415926536, 1.0285106100e-12, 0.00292,  wn20 
2, 290000,  3.1415926558, 2.2055588467e-09, 0.00323,  wn20 
1, 300000,  3.1415926536, 8.1934459217e-13, 0.00298,  wn20 
2, 300000,  3.1415926557, 2.0960873037e-09, 0.00334,  wn20 
1, 310000,  3.1415926536, 8.6730622684e-13, 0.00311,  wn20 
2, 310000,  3.1415926556, 1.9955916919e-09, 0.00351,  wn20 
1, 320000,  3.1415926536, 8.5798035343e-13, 0.00316,  wn20 
2, 320000,  3.1415926555, 1.9026975551e-09, 0.00364,  wn20 
1, 330000,  3.1415926536, 7.8381745539e-13, 0.00325,  wn20 
2, 330000,  3.1415926554, 1.8168848648e-09, 0.00367,  wn20 
1, 340000,  3.1415926536, 6.3904437297e-13, 0.00336,  wn20 
2, 340000,  3.1415926553, 1.7372925321e-09, 0.00389,  wn20 
1, 350000,  3.1415926536, 6.6169292268e-13, 0.00346,  wn20 
2, 350000,  3.1415926553, 1.6634764677e-09, 0.00391,  wn20 
1, 360000,  3.1415926536, 6.3238303483e-13, 0.00356,  wn20 
2, 360000,  3.1415926552, 1.5946057808e-09, 0.00402,  wn20 
1, 370000,  3.1415926536, 6.2172489379e-13, 0.00367,  wn20 
2, 370000,  3.1415926551, 1.5304300049e-09, 0.00413,  wn20 
1, 380000,  3.1415926536, 6.2927441036e-13, 0.00375,  wn20 
2, 380000,  3.1415926551, 1.4704126805e-09, 0.00425,  wn20 
1, 390000,  3.1415926536, 6.3948846218e-13, 0.00388,  wn20 
2, 390000,  3.1415926550, 1.4143233251e-09, 0.00434,  wn20 
1, 400000,  3.1415926536, 5.8841820305e-13, 0.00400,  wn20 
2, 400000,  3.1415926550, 1.3615180094e-09, 0.00454,  wn20 
1, 410000,  3.1415926536, 4.9249493372e-13, 0.00404,  wn20 
2, 410000,  3.1415926549, 1.3120105002e-09, 0.00457,  wn20 
1, 420000,  3.1415926536, 2.8155255904e-13, 0.00415,  wn20 
2, 420000,  3.1415926549, 1.2653478265e-09, 0.00471,  wn20 
1, 430000,  3.1415926536, 4.4142467459e-13, 0.00426,  wn20 
2, 430000,  3.1415926548, 1.2215766176e-09, 0.00485,  wn20 
1, 440000,  3.1415926536, 4.4186876380e-13, 0.00438,  wn20 
2, 440000,  3.1415926548, 1.1801524202e-09, 0.00497,  wn20 
1, 450000,  3.1415926536, 4.0101255649e-13, 0.00453,  wn20 
2, 450000,  3.1415926547, 1.1410263845e-09, 0.00505,  wn20 
1, 460000,  3.1415926536, 4.1078251911e-13, 0.00464,  wn20 
2, 460000,  3.1415926547, 1.1041034753e-09, 0.00518,  wn20 
1, 470000,  3.1415926536, 2.9709568139e-13, 0.00470,  wn20 
2, 470000,  3.1415926547, 1.0690444086e-09, 0.00536,  wn20 
1, 480000,  3.1415926536, 3.8991032625e-13, 0.00481,  wn20 
2, 480000,  3.1415926546, 1.0357545932e-09, 0.00537,  wn20 
1, 490000,  3.1415926536, 2.9798385981e-13, 0.00498,  wn20 
2, 490000,  3.1415926546, 1.0042509047e-09, 0.00551,  wn20 
1, 500000,  3.1415926536, 3.1352698215e-13, 0.00502,  wn20 
2, 500000,  3.1415926546, 9.7429397883e-10, 0.00566,  wn20 
1, 510000,  3.1415926536, 4.0456527017e-13, 0.00509,  wn20 
2, 510000,  3.1415926545, 9.4575725029e-10, 0.00571,  wn20 
1, 520000,  3.1415926536, 3.4994229736e-13, 0.00517,  wn20 
2, 520000,  3.1415926545, 9.1863983087e-10, 0.00582,  wn20 
1, 530000,  3.1415926536, 3.2551739082e-13, 0.00536,  wn20 
2, 530000,  3.1415926545, 8.9274543313e-10, 0.00597,  wn20 
1, 540000,  3.1415926536, 2.8510527272e-13, 0.00545,  wn20 
2, 540000,  3.1415926545, 8.6784890385e-10, 0.00603,  wn20 
1, 550000,  3.1415926536, 1.9895196601e-13, 0.00553,  wn20 
2, 550000,  3.1415926544, 8.4435569647e-10, 0.00623,  wn20 
1, 560000,  3.1415926536, 2.5446311724e-13, 0.00564,  wn20 
2, 560000,  3.1415926544, 8.2197315621e-10, 0.00631,  wn20 
1, 570000,  3.1415926536, 2.0428103653e-13, 0.00570,  wn20 
2, 570000,  3.1415926544, 8.0043482953e-10, 0.00644,  wn20 
1, 580000,  3.1415926536, 3.1841196346e-13, 0.00584,  wn20 
